Format Version,1.24,Take Name,g2_ms_010,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-11-05 02.15.57.963 PM,Capture Start Frame,1919636,Total Frames in Take,1148,Total Exported Frames,1148,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,team2_medium,team2_medium,team2_medium,team2_medium,team2_medium,team2_medium,team2_medium,team2_medium:Marker 001,team2_medium:Marker 001,team2_medium:Marker 001,team2_medium:Marker 002,team2_medium:Marker 002,team2_medium:Marker 002,team2_medium:Marker 003,team2_medium:Marker 003,team2_medium:Marker 003,team2_medium:Marker 004,team2_medium:Marker 004,team2_medium:Marker 004,team2_medium:Marker 001,team2_medium:Marker 001,team2_medium:Marker 001,team2_medium:Marker 002,team2_medium:Marker 002,team2_medium:Marker 002,team2_medium:Marker 003,team2_medium:Marker 003,team2_medium:Marker 003,team2_medium:Marker 004,team2_medium:Marker 004,team2_medium:Marker 004
,ID,C197E399B5C11EF31C44B617C105A91,C197E399B5C11EF31C44B617C105A91,C197E399B5C11EF31C44B617C105A91,C197E399B5C11EF31C44B617C105A91,C197E399B5C11EF31C44B617C105A91,C197E399B5C11EF31C44B617C105A91,C197E399B5C11EF31C44B617C105A91,C197E399B5C11EF31C44B617C105A91,C197E399B5C11EF31C44B617C105A91,C197E399B5C11EF31C44B617C105A91,C197E399B5C11EF31C44B617C105A91,C197E399B5C11EF31C44B617C105A91,C197E399B5C11EF31C44B617C105A91,C197E399B5C11EF31C44B617C105A91,C197E399B5C11EF31C44B617C105A91,C197E399B5C11EF31C44B617C105A91,C197E399B5C11EF31C44B617C105A91,C197E399B5C11EF31C44B617C105A91,C197E399B5C11EF31C44B617C105A91,"17CEBED69B7811EF31C44B617C105A91","17CEBED69B7811EF31C44B617C105A91","17CEBED69B7811EF31C44B617C105A91","17CEBED49B7811EF31C44B617C105A91","17CEBED49B7811EF31C44B617C105A91","17CEBED49B7811EF31C44B617C105A91","17CEBED59B7811EF31C44B617C105A91","17CEBED59B7811EF31C44B617C105A91","17CEBED59B7811EF31C44B617C105A91","17CEBED79B7811EF31C44B617C105A91","17CEBED79B7811EF31C44B617C105A91","17CEBED79B7811EF31C44B617C105A91"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.002800,0.324131,-0.003441,0.946002,-2427.340820,915.660767,524.507568,-2484.939453,917.680664,519.434937,-2399.604004,914.156128,609.722717,-2434.782715,915.924316,473.915436,-2390.036865,914.881836,494.957153,-2485.168701,917.705200,519.303955,-2399.581299,914.146545,609.565613,-2434.758057,915.884766,474.345703,-2389.864746,914.901917,494.876556
1,0.008333,0.002873,0.324116,-0.003355,0.946007,-2427.361084,915.638428,524.573669,-2484.959961,917.652649,519.499451,-2399.626953,914.120544,609.789490,-2434.801270,915.910950,473.981323,-2390.055908,914.869629,495.024353,-2485.194824,917.679626,519.359741,-2399.599365,914.109741,609.637329,-2434.785156,915.866821,474.412231,-2389.877197,914.892883,494.945862
2,0.016667,0.003046,0.323986,-0.003184,0.946052,-2427.387695,915.629517,524.644714,-2484.985596,917.633850,519.555420,-2399.676758,914.080200,609.867493,-2434.813965,915.922607,474.050476,-2390.074219,914.881470,495.105377,-2485.202637,917.659058,519.402588,-2399.647217,914.069946,609.718384,-2434.801270,915.880615,474.499512,-2389.911865,914.903198,495.026215
3,0.025000,0.003244,0.323996,-0.003093,0.946048,-2427.407471,915.626526,524.705200,-2485.005615,917.630554,519.617859,-2399.694824,914.041504,609.926758,-2434.834717,915.941101,474.111176,-2390.094482,914.892822,495.164825,-2485.214844,917.657471,519.458374,-2399.658936,914.030396,609.795227,-2434.829590,915.899414,474.552795,-2389.939941,914.915771,495.081879
4,0.033333,0.003413,0.323934,-0.002899,0.946069,-2427.420654,915.630615,524.751831,-2485.018555,917.622070,519.657776,-2399.718994,914.014832,609.976440,-2434.841309,915.965942,474.156982,-2390.103516,914.919800,495.216095,-2485.207764,917.634155,519.505798,-2399.692627,914.011169,609.853027,-2434.834717,915.951355,474.587555,-2389.958740,914.924316,495.126770
5,0.041667,0.003477,0.323908,-0.002988,0.946077,-2427.429688,915.633301,524.799072,-2485.026855,917.637146,519.702026,-2399.733154,914.006226,610.024963,-2434.847656,915.973389,474.203827,-2390.111328,914.916504,495.265289,-2485.211914,917.649719,519.540100,-2399.703613,914.004944,609.907776,-2434.842285,915.962158,474.655365,-2389.971924,914.915405,495.169739
