Format Version,1.24,Take Name,g2_sr_006,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-11-05 01.59.40.312 PM,Capture Start Frame,1802321,Total Frames in Take,931,Total Exported Frames,931,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,team2_small,team2_small,team2_small,team2_small,team2_small,team2_small,team2_small,team2_small:Marker 001,team2_small:Marker 001,team2_small:Marker 001,team2_small:Marker 002,team2_small:Marker 002,team2_small:Marker 002,team2_small:Marker 003,team2_small:Marker 003,team2_small:Marker 003,team2_small:Marker 001,team2_small:Marker 001,team2_small:Marker 001,team2_small:Marker 002,team2_small:Marker 002,team2_small:Marker 002,team2_small:Marker 003,team2_small:Marker 003,team2_small:Marker 003
,ID,8DEBD2609B6411EF31C44B617C105A91,8DEBD2609B6411EF31C44B617C105A91,8DEBD2609B6411EF31C44B617C105A91,8DEBD2609B6411EF31C44B617C105A91,8DEBD2609B6411EF31C44B617C105A91,8DEBD2609B6411EF31C44B617C105A91,8DEBD2609B6411EF31C44B617C105A91,8DEBD2609B6411EF31C44B617C105A91,8DEBD2609B6411EF31C44B617C105A91,8DEBD2609B6411EF31C44B617C105A91,8DEBD2609B6411EF31C44B617C105A91,8DEBD2609B6411EF31C44B617C105A91,8DEBD2609B6411EF31C44B617C105A91,8DEBD2609B6411EF31C44B617C105A91,8DEBD2609B6411EF31C44B617C105A91,8DEBD2609B6411EF31C44B617C105A91,"CCE94E6A9B7511EF31C44B617C105A91","CCE94E6A9B7511EF31C44B617C105A91","CCE94E6A9B7511EF31C44B617C105A91","CCE94E6B9B7511EF31C44B617C105A91","CCE94E6B9B7511EF31C44B617C105A91","CCE94E6B9B7511EF31C44B617C105A91","CCE94E6C9B7511EF31C44B617C105A91","CCE94E6C9B7511EF31C44B617C105A91","CCE94E6C9B7511EF31C44B617C105A91"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.001442,0.133364,0.008526,-0.991030,-2442.489746,864.836304,534.122253,-2438.919434,867.773743,473.840881,-2488.153564,867.135376,520.242065,-2400.395996,859.599731,608.283630,-2438.871582,867.756470,474.096649,-2488.131348,867.133850,520.231201,-2400.467529,859.614990,608.040894
1,0.008333,-0.001273,0.133388,0.008747,-0.991024,-2442.440430,864.839905,534.081421,-2438.866211,867.758911,473.799408,-2488.102539,867.157227,520.198486,-2400.353027,859.603577,608.246216,-2438.837158,867.744873,474.048279,-2488.053955,867.159302,520.182129,-2400.428467,859.616333,608.010559
2,0.016667,-0.001127,0.133373,0.008953,-0.991025,-2442.415039,864.832153,534.041504,-2438.841309,867.735535,473.758728,-2488.076416,867.166626,520.159607,-2400.327148,859.594299,608.206177,-2438.826904,867.721619,473.996094,-2488.023682,867.166626,520.141052,-2400.402344,859.605042,607.986511
3,0.025000,-0.000847,0.133309,0.009420,-0.991030,-2442.375732,864.845093,534.020081,-2438.807129,867.718994,473.735535,-2488.036621,867.219299,520.143250,-2400.283203,859.597046,608.181274,-2438.790283,867.705566,473.984802,-2487.985840,867.224243,520.122559,-2400.353760,859.609680,607.961182
4,0.033333,-0.000549,0.133321,0.009363,-0.991029,-2442.336914,864.849426,533.994263,-2438.767334,867.687012,473.708099,-2487.997559,867.213684,520.115173,-2400.245361,859.647766,608.159424,-2438.748047,867.674255,473.953735,-2487.940430,867.212036,520.105652,-2400.332764,859.662659,607.921875
5,0.041667,-0.000645,0.133400,0.009115,-0.991020,-2442.297852,864.847473,533.954956,-2438.720215,867.694275,473.669739,-2487.957764,867.189819,520.068848,-2400.215820,859.658386,608.126282,-2438.708252,867.682129,473.907562,-2487.898438,867.188354,520.054443,-2400.297607,859.672302,607.903809
