l_x,l_y,l_yaw,s_x,s_y,s_yaw,r_x,r_y,r_yaw
-2194.025635,598.022034,179.78869591361862,-2381.745361,674.172668,178.51914431788964,-2596.186523,571.297546,177.9096112493052
-2194.315674,598.255798,179.77622886804764,-2382.274902,680.81488,179.43479708239508,-2596.669434,571.28064,177.86424222832986
-2195.224121,598.90033,-179.54189853005195,-2382.902588,681.212402,179.57106009838623,-2594.402344,570.026306,177.88897003780258
-2193.830566,598.506226,179.96456868193633,-2381.72876,679.350708,179.10213960602871,-2596.578613,570.832153,177.75712581078454
-2193.50415,599.597229,179.93207314832281,-2381.107178,680.090332,179.13602730568553,-2596.964844,570.979004,177.68901562051755
-2193.893066,599.489014,179.94975098632582,-2382.200928,681.101807,179.36050238622408,-2596.127441,570.776184,177.93412190256652
-2193.527344,598.727356,179.98241076818718,-2381.38916,680.531738,179.25858991162235,-2595.213379,569.529358,177.92451490844658
-2194.064941,598.686218,179.90657788122954,-2381.069336,679.094849,179.15961801900687,-2596.255127,570.314087,177.781011307215
-2194.113037,599.012756,179.86287862375303,-2381.10498,679.051147,179.15172128050114,-2597.316895,571.05304,177.69231716687193
-2193.830322,598.984436,-179.98153358464924,-2381.628418,680.194275,179.27448797410503,-2595.345947,569.406738,177.74554119434256
-2193.785889,599.262329,179.94652717723662,-2380.915039,679.103882,179.1966662688242,-2591.96167,572.950989,176.25442653965297
-2193.99585,598.082825,179.9050554861338,-2381.172852,679.813599,179.12941875530527,-2596.40625,570.521606,177.73877917402788
-2194.348389,598.518677,179.88925731115816,-2381.94458,680.237061,179.1451083511075,-2595.968018,569.995667,177.88561433196892
-2193.537354,599.008301,179.96959906034485,-2382.303955,680.71698,179.26770694705792,-2598.217529,572.06488,177.81539416168928
-2194.281982,598.893921,179.94506268387863,-2380.503662,678.428406,179.37066916488456,-2596.42041,570.621765,177.80885515893385
-2195.266602,601.093262,179.8772270069217,-2381.245361,679.754761,179.15592301049756,-2596.726074,571.877808,177.81929284239075
-2194.701416,598.713684,-179.89830398407523,-2381.275391,679.61969,179.2039206462285,-2595.847168,569.889038,177.96126556029026
-2193.974365,599.039734,179.99763944898007,-2382.038574,679.968018,179.24971069767457,-2597.314941,571.591492,177.66731636484693
-2194.797607,598.294861,-179.95051820817275,-2381.284668,680.299927,179.0053609684952,-2596.374756,570.208862,177.68543870535612
-2194.133545,598.988892,-179.95202311570506,-2382.137451,680.813477,179.3310372605388,-2596.387695,570.859192,177.84303157256096
-2194.529053,600.066284,-179.97216247962206,-2381.744873,680.217529,179.26750384250718,-2597.75708,571.134399,177.6868127330405
-2194.442139,598.136292,179.9265128926068,-2381.940674,680.417297,179.22065358736288,-2595.95166,570.828552,177.7427235043059
-2194.604248,599.387451,-179.97932548198096,-2381.982422,680.062378,179.26495124706372,-2595.860107,571.190002,177.65778954110164
-2194.368164,599.910706,-179.88764884758803,-2381.88916,679.638489,179.15163084130123,-2595.657471,570.255554,177.72831665723473
-2194.428467,598.684631,179.91600418922346,-2381.039307,679.943237,179.0007725006094,-2596.175049,571.000977,177.71528958138626
