l_x,l_y,l_yaw,s_x,s_y,s_yaw,r_x,r_y,r_yaw
-2427.350586,524.614929,-0.38166850574182243,-2427.429932,524.50116,-0.4444863455688771,-2427.451172,525.308105,-0.6663901204403893
-2426.761963,524.850891,-0.5400704861614701,-2427.596924,524.49762,-0.6155507867133473,-2427.521484,525.22113,-0.241869601888608
-2427.380615,524.977539,-0.2167491434144898,-2427.655029,524.665894,-0.6289957174355607,-2427.239014,524.498108,-0.2733690157061241
-2427.404053,524.990356,-0.5728751109754632,-2427.213135,524.402954,-0.742670357591542,-2427.190674,524.435913,-0.2958666975539472
-2427.685303,524.714905,-0.6330991493266022,-2427.360596,523.814392,-0.7933279796505555,-2427.151367,524.887268,-0.2548067308791478
-2427.270996,524.149719,-0.7668707689968102,-2427.713379,525.496826,-0.4735880652431559,-2427.83374,526.179688,-0.1483664423315025
-2426.956787,524.18573,-0.5111148570475497,-2427.717529,524.950134,-0.6059668698649318,-2427.312256,525.135437,-0.25093675616733
-2427.158691,524.097229,-0.3422314854021576,-2427.840088,524.059204,-0.5284490508716678,-2427.440186,524.731079,-0.537734253774212
-2427.468262,524.678284,-0.38970377817359897,-2427.791748,525.096191,-0.6901695271356867,-2427.131592,524.100708,-0.3794539273164946
-2427.034424,524.173035,-0.4416917886532033,-2427.34082,524.507568,-0.34058799579535476,-2427.942871,525.808777,-0.04200952411451262
-2427.143311,524.247192,-0.32015801256792537,-2427.668701,525.322632,-0.5447411104705593,-2427.041504,523.854553,-0.46139878066541207
-2427.18042,524.158875,-0.3675351070768031,-2427.817139,524.822815,-0.4910016223206018,-2427.562012,525.309631,-0.23505557611833863
-2426.951172,524.031982,-0.4432891971424537,-2427.528809,523.988586,-0.4937487831824195,-2427.186035,524.337891,-0.5949794663368753
-2427.266113,524.275024,-0.3449478358771025,-2427.294434,525.242126,-0.4598767071904225,-2427.20166,524.014221,-0.3958103289823514
-2426.732178,523.653687,-0.5795903740542437,-2427.234131,524.570679,-0.6119263970645185,-2427.817627,525.052673,-0.008425852129085282
-2427.538818,525.65271,-0.3286248628715122,-2427.240723,524.509399,-0.3048739787856932,-2427.025879,524.058044,-0.33972795701887626
-2427.125732,524.922852,-0.37897174346677415,-2427.67749,524.444763,-0.3831005150772996,-2427.407959,524.732056,-0.4584468844035277
-2427.367676,525.498169,-0.7365629191560883,-2427.395996,524.5625,-0.34439783815092134,-2427.231689,524.682678,-0.30316844286967753
-2427.379395,524.389343,-0.3900047799786548,-2427.064453,524.295288,-0.35130844348620005,-2427.426758,524.623108,-0.42509294354329125
-2427.234863,524.610962,-0.5689971177752456,-2427.406738,524.796753,-0.35079636670784203,-2427.075439,524.051636,-0.4814911486743756
-2427.158447,523.583984,-0.7824230918457653,-2427.17749,524.741211,-0.41584083977066333,-2427.233398,524.406677,-0.5536859523466284
-2427.126221,524.354736,-0.5044841360624318,-2427.606445,525.404541,-0.6557626897559703,-2427.714111,525.570618,-0.1481589011164491
-2427.554932,525.28009,-0.32751089986145643,-2427.142334,524.171387,-0.6782406185872991,-2427.552734,525.503052,-0.35752338068002054
-2427.35498,525.202759,-0.22445660772577716,-2427.071045,524.666077,-0.4282164693470168,-2427.246094,524.935364,-0.24453121910640357
-2427.141113,524.113953,-0.5828463187995134,-2427.032227,524.940308,-0.2940830589480036,-2427.597168,525.811951,-0.26539077027820185
