l_x,l_y,l_yaw,s_x,s_y,s_yaw,r_x,r_y,r_yaw
-2442.588867,533.81897,-0.5905930760546328,-2442.53418,534.746033,-0.7452348311625027,-2442.639893,534.578003,-0.670428639710865
-2442.70166,533.540344,-0.6943813454402649,-2442.895752,533.824707,-0.5241400203337383,-2442.584961,534.371094,-0.6455954929994246
-2442.860107,533.849731,-0.5180385655806804,-2442.924561,534.450256,-0.4030578366731351,-2442.613037,534.080139,-0.5815148392199843
-2442.744141,533.638306,-0.633181116085779,-2443.001221,534.222717,-0.45740964504169646,-2442.655762,534.034973,-0.6649559789743473
-2442.358398,534.724121,-0.9103835391312851,-2442.245117,534.32605,-0.7176652935071111,-2442.625732,534.095764,-0.6045589084897476
-2442.686768,533.559509,-0.7097173060999525,-2442.816406,534.762329,-0.5386855554434837,-2442.489746,534.122253,-1.0268514094156822
-2442.735107,533.706116,-0.6754980804465034,-2442.663818,534.70105,-0.5671362216662547,-2442.522461,533.74939,-0.6953818753503582
-2442.693848,534.379333,-0.6055796211821143,-2442.580078,533.814514,-0.5330354456106086,-2442.555176,534.082458,-0.6725964354579018
-2442.619385,534.267029,-0.5805462255120771,-2442.830322,534.039917,-0.482806666914202,-2442.562256,534.052551,-0.6957452559286812
-2442.609375,534.202209,-0.6107631191430063,-2442.493408,533.737122,-0.5422261357817233,-2442.552246,534.41217,-0.6768892470786998
-2443.243408,534.280334,-0.9258870442349016,-2442.889648,534.280945,-0.493428688106428,-2442.636719,534.374329,-0.7258521079903519
-2442.661621,534.042908,-0.6325288922658138,-2442.475586,533.969421,-0.5088594910600125,-2442.565918,533.666565,-0.7074720380993702
-2442.695068,534.335571,-0.5690396923188707,-2442.571289,534.285217,-0.7769355305002137,-2442.564209,533.4552,-1.0966521320582172
-2442.55835,534.000427,-0.5859672801750798,-2442.751221,533.781433,-0.6359857332312989,-2442.51123,533.764954,-0.7105841143552042
-2442.638428,533.502441,-0.6492312291927117,-2442.637939,534.871521,-0.6656992126275578,-2442.550537,534.611145,-0.7196466615743495
-2442.68457,534.196594,-0.5803362063316029,-2442.595947,534.09082,-0.5576786957004976,-2438.12915,534.922913,-4.590605901359725
-2442.552979,534.122009,-0.6326859823688088,-2442.593018,534.75647,-0.6577320263528447,-2442.522705,534.240295,-0.6270073902918907
-2442.70166,534.105591,-0.5638823548112871,-2442.633789,534.58728,-0.5747595195613824,-2442.369141,533.990417,-1.3747406702737481
-2442.739502,534.190857,-0.6028215451347337,-2442.565918,534.493896,-0.5462989435318873,-2442.541748,534.608032,-0.6858258593659966
-2442.79126,534.048523,-0.6082713448914439,-2442.475098,534.892151,-0.7037151009144715,-2442.519531,534.625671,-0.6853317629521555
-2442.601807,533.80249,-0.5916706152476447,-2442.582275,534.571228,-0.5745708945234386,-2442.475098,534.600708,-0.7393534767694029
-2442.637207,534.634094,-0.5875423674606095,-2442.685059,533.839783,-0.6251009670783697,-2442.579834,533.563354,-0.72633823002545
-2442.770996,533.550476,-0.7042068314201595,-2442.571533,534.44751,-0.5696180155673226,-2442.524658,533.909546,-0.5764173081259559
-2442.645996,533.927246,-0.5980181897718903,-2442.602783,534.059021,-0.5656883587550917,-2442.465332,534.212646,-0.649202354993059
-2442.589355,534.724182,-0.6528397135805475,-2442.303223,534.562317,-0.8135916519397838,-2442.589355,533.854248,-0.6841298308005285
