Format Version,1.24,Take Name,g2_ms_002,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-11-05 02.13.43.674 PM,Capture Start Frame,1903522,Total Frames in Take,1109,Total Exported Frames,1109,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,team2_medium,team2_medium,team2_medium,team2_medium,team2_medium,team2_medium,team2_medium,team2_medium:Marker 001,team2_medium:Marker 001,team2_medium:Marker 001,team2_medium:Marker 002,team2_medium:Marker 002,team2_medium:Marker 002,team2_medium:Marker 003,team2_medium:Marker 003,team2_medium:Marker 003,team2_medium:Marker 004,team2_medium:Marker 004,team2_medium:Marker 004,team2_medium:Marker 001,team2_medium:Marker 001,team2_medium:Marker 001,team2_medium:Marker 002,team2_medium:Marker 002,team2_medium:Marker 002,team2_medium:Marker 003,team2_medium:Marker 003,team2_medium:Marker 003,team2_medium:Marker 004,team2_medium:Marker 004,team2_medium:Marker 004
,ID,C197E399B5C11EF31C44B617C105A91,C197E399B5C11EF31C44B617C105A91,C197E399B5C11EF31C44B617C105A91,C197E399B5C11EF31C44B617C105A91,C197E399B5C11EF31C44B617C105A91,C197E399B5C11EF31C44B617C105A91,C197E399B5C11EF31C44B617C105A91,C197E399B5C11EF31C44B617C105A91,C197E399B5C11EF31C44B617C105A91,C197E399B5C11EF31C44B617C105A91,C197E399B5C11EF31C44B617C105A91,C197E399B5C11EF31C44B617C105A91,C197E399B5C11EF31C44B617C105A91,C197E399B5C11EF31C44B617C105A91,C197E399B5C11EF31C44B617C105A91,C197E399B5C11EF31C44B617C105A91,C197E399B5C11EF31C44B617C105A91,C197E399B5C11EF31C44B617C105A91,C197E399B5C11EF31C44B617C105A91,"C7C3A49E9B7711EF31C44B617C105A91","C7C3A49E9B7711EF31C44B617C105A91","C7C3A49E9B7711EF31C44B617C105A91","C7C3A49C9B7711EF31C44B617C105A91","C7C3A49C9B7711EF31C44B617C105A91","C7C3A49C9B7711EF31C44B617C105A91","C7C3A49D9B7711EF31C44B617C105A91","C7C3A49D9B7711EF31C44B617C105A91","C7C3A49D9B7711EF31C44B617C105A91","C7C3A49F9B7711EF31C44B617C105A91","C7C3A49F9B7711EF31C44B617C105A91","C7C3A49F9B7711EF31C44B617C105A91"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.002764,0.333935,-0.005407,0.942577,-2427.596924,915.813049,524.497620,-2485.280762,918.038574,520.620117,-2398.100830,914.310181,609.119995,-2436.087402,916.042358,474.070709,-2390.917969,914.861023,494.179565,-2485.552246,918.174438,520.308533,-2397.978027,914.243958,608.964661,-2436.118408,915.779541,474.567108,-2390.782471,915.025269,494.200470
1,0.008333,0.002972,0.333993,-0.005183,0.942557,-2427.604492,915.803650,524.560852,-2485.289551,918.015015,520.691528,-2398.097900,914.263306,609.178894,-2436.101318,916.057922,474.135101,-2390.928955,914.878418,494.237915,-2485.565186,918.135132,520.384583,-2397.979004,914.201050,609.029907,-2436.139648,915.825439,474.627716,-2390.780762,915.023987,494.253174
2,0.016667,0.002988,0.333994,-0.005300,0.942556,-2427.614990,915.809998,524.596375,-2485.299561,918.034424,520.727112,-2398.108398,914.266907,609.214355,-2436.111816,916.063782,474.170624,-2390.939697,914.874878,494.273346,-2485.561279,918.167786,520.424805,-2397.995117,914.205994,609.059265,-2436.151611,915.810425,474.648987,-2390.795898,915.031494,494.291962
3,0.025000,0.003187,0.333965,-0.005157,0.942566,-2427.633301,915.800476,524.641907,-2485.317871,918.018860,520.769958,-2398.132080,914.221558,609.261108,-2436.126953,916.076782,474.215759,-2390.956055,914.884583,494.320831,-2485.614258,918.144836,520.465820,-2398.013672,914.160583,609.091003,-2436.153320,915.837036,474.715149,-2390.801270,915.031982,494.343964
4,0.033333,0.003230,0.333996,-0.005054,0.942556,-2427.644043,915.794861,524.660522,-2485.329346,918.004333,520.792542,-2398.137207,914.208069,609.277588,-2436.141113,916.077454,474.234924,-2390.968506,914.889587,494.336975,-2485.626709,918.123779,520.495178,-2398.020264,914.152954,609.101074,-2436.162842,915.849731,474.729980,-2390.812500,915.027832,494.355591
5,0.041667,0.003176,0.333970,-0.005094,0.942565,-2427.655273,915.810181,524.658875,-2485.340088,918.021362,520.787537,-2398.153076,914.233276,609.277649,-2436.149414,916.086487,474.232758,-2390.978027,914.899536,494.337341,-2485.636963,918.143066,520.491760,-2398.041016,914.182678,609.101746,-2436.166748,915.861389,474.729126,-2390.822266,915.037231,494.347748
6,0.050000,0.003188,0.333981,-0.005190,0.942560,-2427.650391,915.807495,524.638611,-2485.335205,918.029419,520.768494,-2398.146729,914.228516,609.256775,-2436.145752,916.083313,474.212708,-2390.974365,914.888672,494.316254,-2485.631104,918.145508,520.463684,-2398.030029,914.172913,609.099426,-2436.171875,915.864746,474.713013,-2390.820312,915.022156,494.326935
7,0.058333,0.003114,0.333967,-0.005117,0.942566,-2427.656982,915.807495,524.618286,-2485.341797,918.018311,520.746277,-2398.155273,914.241699,609.237488,-2436.150879,916.077209,474.192078,-2390.979736,914.892822,494.297089,-2485.636230,918.140015,520.445740,-2398.038818,914.182617,609.064819,-2436.177979,915.845703,474.691193,-2390.823242,915.034912,494.319855
8,0.066667,0.003072,0.334005,-0.005073,0.942553,-2427.647949,915.806885,524.567810,-2485.333496,918.011169,520.700256,-2398.139160,914.248474,609.184753,-2436.145752,916.073181,474.142273,-2390.972900,914.894714,494.243744,-2485.621094,918.134094,520.404907,-2398.028076,914.188904,609.015442,-2436.166016,915.836304,474.648682,-2390.822266,915.039551,494.256287
9,0.075000,0.002906,0.333999,-0.005156,0.942555,-2427.630859,915.806396,524.513123,-2485.316162,918.011841,520.644226,-2398.123291,914.277771,609.130920,-2436.128418,916.054565,474.087433,-2390.955566,914.881470,494.189789,-2485.589355,918.134888,520.343506,-2398.013428,914.218201,608.977417,-2436.159180,915.816772,474.590424,-2390.809082,915.027527,494.195831
10,0.083333,0.002589,0.334144,-0.005519,0.942502,-2427.590576,915.821777,524.454407,-2485.276123,918.051270,520.601807,-2398.056885,914.350220,609.064209,-2436.103760,916.031677,474.031219,-2390.925293,914.854126,494.120331,-2485.532227,918.183594,520.290039,-2397.936035,914.292786,608.909973,-2436.137939,915.781067,474.531921,-2390.790283,915.005737,494.132477
11,0.091667,0.002796,0.334759,-0.005549,0.942283,-2427.570068,915.792908,524.364990,-2485.260254,918.034912,520.588379,-2397.926514,914.283630,608.935669,-2436.148926,916.023438,473.953003,-2390.944824,914.829529,493.982819,-2485.534424,918.177917,520.253967,-2397.797363,914.213623,608.776917,-2436.181885,915.745056,474.466095,-2390.816406,915.000671,494.013153
12,0.100000,0.002595,0.335314,-0.005750,0.942086,-2427.515137,915.802307,524.289490,-2485.208984,918.056580,520.579956,-2397.771729,914.328491,608.825806,-2436.153320,916.009460,473.887573,-2390.925781,914.814636,493.864532,-2485.475830,918.200684,520.238037,-2397.632568,914.255493,608.634949,-2436.172363,915.725708,474.409119,-2390.821045,914.987488,493.923920
13,0.108333,0.002330,0.335687,-0.006298,0.941950,-2427.449219,915.797363,524.206787,-2485.144043,918.097595,520.541382,-2397.639648,914.371094,608.720520,-2436.127686,915.968506,473.811584,-2390.885010,914.752258,493.753418,-2485.410400,918.238525,520.210815,-2397.512695,914.300293,608.536316,-2436.149170,915.689819,474.344055,-2390.767334,914.921265,493.792664
14,0.116667,0.002086,0.336091,-0.006412,0.941805,-2427.389648,915.803833,524.143066,-2485.087646,918.105164,520.526184,-2397.507324,914.420837,608.631836,-2436.111328,915.948669,473.755310,-2390.852051,914.740723,493.658783,-2485.332764,918.241882,520.199646,-2397.381836,914.350464,608.425781,-2436.141846,915.668274,474.299194,-2390.738037,914.915649,493.710205
15,0.125000,0.001917,0.336734,-0.006817,0.941573,-2427.346680,915.813293,524.113892,-2485.048096,918.150024,520.574829,-2397.349609,914.459961,608.562439,-2436.137695,915.934448,473.738068,-2390.851562,914.708618,493.580170,-2485.292480,918.294739,520.259033,-2397.226562,914.387817,608.390869,-2436.177246,915.648376,474.274170,-2390.736572,914.886047,493.611450
16,0.133333,0.001874,0.337329,-0.007084,0.941358,-2427.336182,915.813721,524.081482,-2485.041016,918.176941,520.614929,-2397.232666,914.467468,608.492249,-2436.190918,915.926453,473.716797,-2390.880371,914.684143,493.501801,-2485.272461,918.322266,520.309143,-2397.113037,914.389893,608.343201,-2436.252930,915.638672,474.185028,-2390.764160,914.870728,493.547119
17,0.141667,0.001804,0.337541,-0.007071,0.941282,-2427.316650,915.799805,524.112061,-2485.022949,918.158447,520.671265,-2397.174805,914.465576,608.509338,-2436.194092,915.905884,473.751373,-2390.874268,914.669189,493.516052,-2485.264160,918.304199,520.365662,-2397.067383,914.384521,608.342712,-2436.217529,915.597229,474.284180,-2390.764404,914.862488,493.559387
18,0.150000,0.002089,0.338097,-0.006908,0.941084,-2427.350586,915.806152,524.162354,-2485.061279,918.160583,520.790894,-2397.109619,914.420288,608.523376,-2436.287109,915.944153,473.812225,-2390.944336,914.699646,493.522858,-2485.307617,918.312378,520.487549,-2396.987793,914.335571,608.410889,-2436.362793,915.650269,474.254547,-2390.821777,914.902832,493.572144
19,0.158333,0.002154,0.338388,-0.007345,0.940976,-2427.365967,915.807739,524.226501,-2485.076660,918.211609,520.890564,-2397.073730,914.409668,608.568909,-2436.333984,915.945068,473.881897,-2390.979736,914.664551,493.564545,-2485.348145,918.374756,520.553711,-2396.946777,914.329773,608.422668,-2436.366455,915.622375,474.401367,-2390.851318,914.865479,493.585144
20,0.166667,0.002151,0.338633,-0.007135,0.940889,-2427.377441,915.798828,524.252319,-2485.091064,918.180237,520.946594,-2397.040771,914.401001,608.578796,-2436.371338,915.939697,473.912384,-2391.006592,914.674438,493.571320,-2485.369385,918.337830,520.618225,-2396.915039,914.319153,608.432617,-2436.388428,915.610779,474.423096,-2390.885254,914.884521,493.584534
21,0.175000,0.002158,0.338683,-0.007023,0.940872,-2427.373291,915.799866,524.256531,-2485.087402,918.169617,520.957092,-2397.027588,914.400818,608.579712,-2436.372559,915.943298,473.917572,-2391.005371,914.685669,493.571594,-2485.343994,918.325989,520.620056,-2396.904785,914.321289,608.425415,-2436.394531,915.621643,474.431519,-2390.887939,914.890198,493.592896
22,0.183333,0.002251,0.338696,-0.007111,0.940866,-2427.386230,915.829224,524.230896,-2485.100098,918.212585,520.933411,-2397.038574,914.413513,608.553040,-2436.386963,915.980591,473.892212,-2391.019531,914.710266,493.544861,-2485.351318,918.372375,520.617493,-2396.920166,914.337952,608.438049,-2436.429688,915.678101,474.319946,-2390.891846,914.914368,493.559601
23,0.191667,0.002292,0.338669,-0.007302,0.940874,-2427.401367,915.837769,524.209351,-2485.113770,918.243347,520.908447,-2397.058838,914.414673,608.533264,-2436.399170,915.989929,473.870117,-2391.033203,914.703064,493.525360,-2485.384766,918.413879,520.581909,-2396.919922,914.331726,608.434448,-2436.436768,915.662476,474.298401,-2390.912842,914.916443,493.552185
24,0.200000,0.002246,0.338644,-0.006893,0.940887,-2427.407227,915.823914,524.207520,-2485.121826,918.183838,520.903870,-2397.068604,914.409058,608.532898,-2436.402344,915.978577,473.867859,-2391.036621,914.724304,493.525421,-2485.369385,918.333557,520.596497,-2396.940674,914.329285,608.408630,-2436.437500,915.665405,474.303192,-2390.920166,914.929443,493.563965
25,0.208333,0.002384,0.338721,-0.007024,0.940858,-2427.406494,915.820251,524.189636,-2485.120850,918.200378,520.895752,-2397.054443,914.380615,608.509766,-2436.409668,915.986511,473.851471,-2391.041260,914.713440,493.501404,-2485.370605,918.360046,520.593384,-2396.926270,914.298035,608.366394,-2436.446289,915.676208,474.288727,-2390.917969,914.913879,493.545532
26,0.216667,0.002234,0.338659,-0.006785,0.940882,-2427.424072,915.815308,524.181702,-2485.139160,918.163330,520.879944,-2397.082520,914.402527,608.506104,-2436.420898,915.970520,473.842316,-2391.054199,914.724854,493.498444,-2485.383545,918.302429,520.577759,-2396.959717,914.332947,608.365295,-2436.461426,915.688293,474.272339,-2390.935303,914.907837,493.547882
27,0.225000,0.002331,0.338688,-0.006985,0.940870,-2427.416260,915.832336,524.186218,-2485.130615,918.205872,520.888062,-2397.069824,914.402283,608.508606,-2436.416260,915.993896,473.847351,-2391.048584,914.727356,493.500580,-2485.382080,918.366760,520.570618,-2396.934326,914.324829,608.384155,-2436.459229,915.694275,474.285492,-2390.925781,914.923340,493.545105
