Format Version,1.24,Take Name,g2_ss_007,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-11-05 01.32.04.104 PM,Capture Start Frame,1603580,Total Frames in Take,1180,Total Exported Frames,1180,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,team2_small,team2_small,team2_small,team2_small,team2_small,team2_small,team2_small,team2_small:Marker 001,team2_small:Marker 001,team2_small:Marker 001,team2_small:Marker 002,team2_small:Marker 002,team2_small:Marker 002,team2_small:Marker 003,team2_small:Marker 003,team2_small:Marker 003,team2_small:Marker 001,team2_small:Marker 001,team2_small:Marker 001,team2_small:Marker 002,team2_small:Marker 002,team2_small:Marker 002,team2_small:Marker 003,team2_small:Marker 003,team2_small:Marker 003
,ID,8DEBD2609B6411EF31C44B617C105A91,8DEBD2609B6411EF31C44B617C105A91,8DEBD2609B6411EF31C44B617C105A91,8DEBD2609B6411EF31C44B617C105A91,8DEBD2609B6411EF31C44B617C105A91,8DEBD2609B6411EF31C44B617C105A91,8DEBD2609B6411EF31C44B617C105A91,8DEBD2609B6411EF31C44B617C105A91,8DEBD2609B6411EF31C44B617C105A91,8DEBD2609B6411EF31C44B617C105A91,8DEBD2609B6411EF31C44B617C105A91,8DEBD2609B6411EF31C44B617C105A91,8DEBD2609B6411EF31C44B617C105A91,8DEBD2609B6411EF31C44B617C105A91,8DEBD2609B6411EF31C44B617C105A91,8DEBD2609B6411EF31C44B617C105A91,"F5E7A72B9B7111EF31C44B617C105A91","F5E7A72B9B7111EF31C44B617C105A91","F5E7A72B9B7111EF31C44B617C105A91","F5E7A72C9B7111EF31C44B617C105A91","F5E7A72C9B7111EF31C44B617C105A91","F5E7A72C9B7111EF31C44B617C105A91","F5E7A72D9B7111EF31C44B617C105A91","F5E7A72D9B7111EF31C44B617C105A91","F5E7A72D9B7111EF31C44B617C105A91"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.002879,0.136324,0.004414,-0.990650,-2442.663818,864.401001,534.701050,-2438.757324,867.472900,474.447266,-2488.261475,866.335144,520.550415,-2400.972900,859.394897,609.105347,-2438.733643,867.472107,474.449585,-2488.215332,866.329529,520.635193,-2401.045410,859.401428,609.016663
1,0.008333,-0.002916,0.136304,0.004340,-0.990653,-2442.638428,864.394348,534.685486,-2438.734863,867.470032,474.431732,-2488.236816,866.322144,520.536865,-2400.943604,859.390869,609.087830,-2438.721191,867.471619,474.437469,-2488.179199,866.314941,520.612366,-2401.015137,859.397461,609.002258
2,0.016667,-0.002840,0.136302,0.004439,-0.990653,-2442.621826,864.403931,534.683716,-2438.717773,867.471375,474.429535,-2488.219971,866.339844,520.535034,-2400.927490,859.400452,609.086365,-2438.703369,867.470764,474.434387,-2488.166260,866.334473,520.610535,-2400.996582,859.406555,609.004822
3,0.025000,-0.002863,0.136283,0.004469,-0.990656,-2442.617676,864.416809,534.692749,-2438.715820,867.487305,474.438599,-2488.216064,866.355957,520.545959,-2400.920898,859.407227,609.093689,-2438.697998,867.488464,474.443848,-2488.167969,866.350464,520.626526,-2400.992188,859.413513,609.009521
4,0.033333,-0.002986,0.136324,0.004335,-0.990650,-2442.601807,864.419312,534.713318,-2438.695801,867.503357,474.460114,-2488.199951,866.347717,520.562988,-2400.910156,859.406738,609.116760,-2438.681641,867.502869,474.461731,-2488.141846,866.341919,520.644836,-2400.984131,859.413086,609.032410
5,0.041667,-0.003025,0.136300,0.004553,-0.990653,-2442.594971,864.387024,534.738037,-2438.690674,867.477722,474.485107,-2488.192871,866.336670,520.590332,-2400.901611,859.346741,609.138672,-2438.680664,867.478088,474.472260,-2488.149414,866.331970,520.656128,-2400.954834,859.350830,609.086670
