l_x,l_y,l_yaw,s_x,s_y,s_yaw,r_x,r_y,r_yaw
-2391.764648,543.258789,-8.933451871553077,-2392.031006,544.47229,-8.940405832735948,-2391.864746,544.729736,-8.108579481605725
-2392.304443,544.508911,-7.896562298695519,-2392.067627,544.720154,-7.171750723811511,-2392.194092,544.695923,-7.567811320625303
-2392.128906,544.683228,-7.430633737255974,-2391.873779,544.593933,-8.461267395341318,-2392.148193,544.646729,-7.9538576967083285
-2392.152344,544.538086,-7.123616866281573,-2391.996582,544.767029,-7.487936460720527,-2392.233398,544.235107,-8.626265756345353
-2391.591797,544.563721,-8.776248868462277,-2390.9021,542.739319,-9.240582895598779,-2392.230957,544.884094,-7.3225659866367945
-2392.085205,544.827454,-7.135469179817979,-2390.743164,543.611633,-9.308935001226939,-2391.421631,543.54303,-9.794067435674693
-2391.505127,544.285522,-7.610767818565953,-2391.362305,544.370178,-8.114861108939253,-2392.06543,544.190002,-8.58090913302254
-2391.96167,544.758423,-7.191616712538437,-2392.24585,544.314514,-8.374366623960418,-2392.283447,545.016602,-7.155242117035963
-2390.996338,543.784973,-7.640318153891238,-2391.773193,544.102417,-9.144929628142695,-2392.119873,544.351685,-8.378480746475907
-2392.04834,544.281311,-7.6708841976712145,-2391.488281,544.114746,-9.947058193398224,-2392.231934,544.476074,-8.851078143047314
-2391.6604,544.080017,-9.182437098357573,-2391.527588,543.544739,-9.613034181703018,-2391.891357,544.166687,-8.019082369922964
-2391.050537,543.078064,-9.3152509974483,-2391.524902,544.196228,-7.485795450563598,-2392.093506,544.421204,-8.049981212593439
-2391.387939,542.801392,-9.200052691620566,-2391.628662,543.375366,-9.69058687760856,-2392.006348,544.783081,-7.31123379996472
-2390.885986,543.355286,-9.410317665116274,-2392.196045,544.862488,-7.138292669928088,-2392.138428,544.899292,-7.139706178075052
-2391.787842,543.598083,-8.740232235344736,-2391.823975,544.712646,-8.608916246216696,-2391.647217,543.461914,-8.787367274992654
-2392.160156,544.750732,-7.268233455891141,-2392.122314,543.562561,-9.007664734327765,-2392.155518,544.891052,-7.156772757195945
-2391.19751,543.413086,-9.756076242033043,-2391.803955,543.147888,-8.909398240619868,-2391.929199,544.247192,-8.08166612264232
-2392.106689,544.789734,-7.613636788155103,-2392.167725,544.164429,-8.341843691428036,-2392.023926,544.660278,-8.915596126226184
-2391.746094,543.866028,-8.752118233374905,-2391.309326,543.822205,-9.289714130797048,-2392.031982,543.280701,-8.73361032141337
-2391.660645,544.02417,-8.921750133685322,-2391.601318,543.633545,-8.973965621270743,-2391.647705,544.54895,-7.948006332216287
-2392.02124,544.604126,-9.200798965063978,-2391.121338,543.738037,-9.474401860893575,-2391.450928,544.076782,-9.977041480601963
-2391.897217,543.456604,-8.800591279759619,-2391.93335,544.527588,-8.27443280793119,-2392.052979,544.707153,-8.117784542812545
-2391.669678,543.337952,-9.061048599184982,-2392.020508,543.780212,-9.159614539163007,-2392.184082,543.777039,-9.339242408859484
-2391.639893,544.52655,-8.783492930185274,-2391.918945,544.233276,-7.833172497957215,-2392.104248,544.083435,-8.700252328825995
-2391.868164,544.603577,-8.412350103276413,-2391.914062,544.578918,-8.33283031715154,-2392.089355,544.244873,-7.580455906801552
