l_x,l_y,l_yaw,s_x,s_y,s_yaw,r_x,r_y,r_yaw
-2427.350586,524.614929,38.93126616131508,-2427.429932,524.50116,38.719869749047405,-2427.451172,525.308105,39.56580206887343
-2426.761963,524.850891,38.992220260344496,-2427.596924,524.49762,39.01684098623034,-2427.521484,525.22113,38.96437480926574
-2427.380615,524.977539,37.82428210120446,-2427.655029,524.665894,39.72898267264045,-2427.239014,524.498108,38.170379022495375
-2427.404053,524.990356,38.178129141387096,-2427.213135,524.402954,39.521725594508034,-2427.190674,524.435913,39.19904905380555
-2427.685303,524.714905,40.230815724463376,-2427.360596,523.814392,38.29448309252159,-2427.151367,524.887268,38.57814245239253
-2427.270996,524.149719,37.86486436610834,-2427.713379,525.496826,40.018377299555546,-2427.83374,526.179688,39.96710718917136
-2426.956787,524.18573,39.45579121971352,-2427.717529,524.950134,39.79873337139861,-2427.312256,525.135437,38.19614773724814
-2427.158691,524.097229,38.58781717426297,-2427.840088,524.059204,39.34356699111017,-2427.440186,524.731079,39.036697594049386
-2427.468262,524.678284,38.62502004429371,-2427.791748,525.096191,40.15833639583367,-2427.131592,524.100708,37.53589827149288
-2427.034424,524.173035,37.832210552867025,-2427.34082,524.507568,37.82678824275797,-2427.942871,525.808777,39.571426144746276
-2427.143311,524.247192,38.27366329327397,-2427.668701,525.322632,39.90967834971018,-2427.041504,523.854553,38.107499462792504
-2427.18042,524.158875,37.9371193601225,-2427.817139,524.822815,38.586869945516284,-2427.562012,525.309631,38.255486549249305
-2426.951172,524.031982,39.62993821742123,-2427.528809,523.988586,39.07687997696437,-2427.186035,524.337891,37.51378785641522
-2427.266113,524.275024,38.3923885729953,-2427.294434,525.242126,39.34975020393531,-2427.20166,524.014221,37.89235121992079
-2426.732178,523.653687,38.010101974511166,-2427.234131,524.570679,39.57729369107735,-2427.817627,525.052673,39.604567790521195
-2427.538818,525.65271,40.062872978906526,-2427.240723,524.509399,38.421702876848435,-2427.025879,524.058044,37.527451808175215
-2427.125732,524.922852,37.52422937768562,-2427.67749,524.444763,39.16612160524163,-2427.407959,524.732056,38.33324802396072
-2427.367676,525.498169,39.39544566871704,-2427.395996,524.5625,38.16082996307165,-2427.231689,524.682678,37.56582710611097
-2427.379395,524.389343,38.55896023749402,-2427.064453,524.295288,37.753724373399145,-2427.426758,524.623108,39.15723535022927
-2427.234863,524.610962,38.3547565102654,-2427.406738,524.796753,39.45020584247557,-2427.075439,524.051636,39.01131901620094
-2427.158447,523.583984,38.84986742749171,-2427.17749,524.741211,38.070940800572764,-2427.233398,524.406677,37.58901009293373
-2427.126221,524.354736,39.28258366383959,-2427.606445,525.404541,39.133365063375834,-2427.714111,525.570618,40.07706229805387
-2427.554932,525.28009,40.264893694840275,-2427.142334,524.171387,38.87600892173048,-2427.552734,525.503052,40.3081466170437
-2427.35498,525.202759,39.24639375345273,-2427.071045,524.666077,37.68870175769525,-2427.246094,524.935364,37.566389557876974
-2427.141113,524.113953,39.138495631613196,-2427.032227,524.940308,38.00913215885722,-2427.597168,525.811951,39.48881674168635
