l_x,l_y,l_yaw,s_x,s_y,s_yaw,r_x,r_y,r_yaw
-2391.764648,543.258789,179.06468838632074,-2392.031006,544.47229,179.16436035539854,-2391.864746,544.729736,179.10810914190202
-2392.304443,544.508911,179.17202387359333,-2392.067627,544.720154,179.28546985257313,-2392.194092,544.695923,179.0298046233816
-2392.128906,544.683228,179.27712490978203,-2391.873779,544.593933,179.13313148500794,-2392.148193,544.646729,179.07738527385007
-2392.152344,544.538086,179.21968664753385,-2391.996582,544.767029,179.2124763842043,-2392.233398,544.235107,179.0925398349397
-2391.591797,544.563721,179.1262216704199,-2390.9021,542.739319,178.5820392970244,-2392.230957,544.884094,179.24158458352568
-2392.085205,544.827454,179.22566442724036,-2390.743164,543.611633,178.63719818683788,-2391.421631,543.54303,178.92271844182244
-2391.505127,544.285522,179.02645783397696,-2391.362305,544.370178,178.99092314046325,-2392.06543,544.190002,179.04865414385335
-2391.96167,544.758423,179.28326458932003,-2392.24585,544.314514,179.13047331228452,-2392.283447,545.016602,179.19355458398582
-2390.996338,543.784973,178.80525611254095,-2391.773193,544.102417,179.10206193134903,-2392.119873,544.351685,179.05133948557497
-2392.04834,544.281311,179.23114933285004,-2391.488281,544.114746,179.08299019485747,-2392.231934,544.476074,179.0249554446943
-2391.6604,544.080017,178.95556467045256,-2391.527588,543.544739,178.9988020115426,-2391.891357,544.166687,179.00864089603235
-2391.050537,543.078064,178.7042976155728,-2391.524902,544.196228,179.12114655459115,-2392.093506,544.421204,179.06213554868768
-2391.387939,542.801392,178.8588200568318,-2391.628662,543.375366,179.1002902749334,-2392.006348,544.783081,179.2795427965835
-2390.885986,543.355286,178.6606132234238,-2392.196045,544.862488,179.23991862765368,-2392.138428,544.899292,179.27484014646845
-2391.787842,543.598083,178.9619372192427,-2391.823975,544.712646,179.07475859878107,-2391.647217,543.461914,178.95213648873116
-2392.160156,544.750732,179.23665678690992,-2392.122314,543.562561,179.081316958986,-2392.155518,544.891052,179.1860419125538
-2391.19751,543.413086,178.84655147549503,-2391.803955,543.147888,178.90698971059948,-2391.929199,544.247192,179.09912172373535
-2392.106689,544.789734,179.24267155894904,-2392.167725,544.164429,179.01285267043596,-2392.023926,544.660278,179.04220035591396
-2391.746094,543.866028,179.04882821281683,-2391.309326,543.822205,179.00204367903217,-2392.031982,543.280701,178.89029657866604
-2391.660645,544.02417,179.03695907734317,-2391.601318,543.633545,179.07704772962055,-2391.647705,544.54895,179.0217554794395
-2392.02124,544.604126,179.17321034255113,-2391.121338,543.738037,178.89271998201542,-2391.450928,544.076782,179.06497982510993
-2391.897217,543.456604,178.921214497037,-2391.93335,544.527588,179.04197343302386,-2392.052979,544.707153,179.00136805167128
-2391.669678,543.337952,179.09672075993777,-2392.020508,543.780212,179.09363159350028,-2392.184082,543.777039,179.05061716244265
-2391.639893,544.52655,179.16610569771478,-2391.918945,544.233276,179.21976759584518,-2392.104248,544.083435,178.96839470640276
-2391.868164,544.603577,179.0100256520432,-2391.914062,544.578918,179.0646408169822,-2392.089355,544.244873,179.12479520127812
