l_x,l_y,l_yaw,s_x,s_y,s_yaw,r_x,r_y,r_yaw
-2235.512695,595.702698,0.6245419958352489,-2418.100586,659.687378,-0.045616319796608,-2617.90332,535.711731,-1.4825323854584027
-2234.176758,594.96283,0.3824379548008942,-2417.995117,660.025574,-0.24272328785006536,-2598.550293,693.393066,-4.179959825382598
-2234.978271,595.769348,0.6682006949865722,-2418.205566,659.392822,-0.3296309587489141,-2618.104004,535.55188,-1.3731929695705694
-2235.00708,594.366028,0.49598554325994276,-2418.011475,659.047852,-0.31246485029958543,-2617.662354,535.537292,-1.4765341988858869
-2234.266846,595.256226,0.25645581751198115,-2417.974365,659.747009,-0.25484717891202374,-2618.001465,535.268677,-1.5060894349669616
-2234.489746,595.356384,0.8699457354212426,-2417.791748,659.86554,-0.14692641454874414,-2617.936279,535.319641,-1.5287049056912199
-2233.941406,603.203491,5.31470342528286,-2418.013184,659.915039,-0.04275063728973317,-2617.580811,535.842651,-1.5228741072927479
-2233.94873,595.41626,0.1329067604841639,-2418.030518,659.832581,-0.10105042596694362,-2617.72998,535.264221,-1.5506149705534058
-2234.762451,594.974976,0.36180835324708255,-2418.054932,659.552002,-0.17353893420929814,-2617.756348,534.969666,-1.5954737860967037
-2225.644531,771.854614,-16.601400477617418,-2417.929199,659.280151,-0.36699847367715144,-2618.063477,535.806458,-1.4698331138810423
-2234.742188,595.196228,0.5414550679477925,-2418.116699,659.850525,-0.43696837644740866,-2617.891846,535.027222,-1.5148081435958352
-2235.247314,595.827881,0.641005055377019,-2418.130371,660.15686,-0.08905281246196355,-2617.714844,536.160767,-1.4560075262391456
-2234.517334,594.889282,1.0274193645787457,-2418.348633,659.902893,-0.20797896861966783,-2618.161377,536.490967,-1.5316358820465346
-2233.978027,595.324219,0.7390260010695638,-2418.04248,659.706421,-0.16601065500490617,-2617.600586,534.894348,-1.6306007990835945
-2235.167969,596.068054,0.4978488155700461,-2418.221436,659.702271,-0.29288964850738786,-2617.910645,535.034973,-1.4604132927079227
-2234.766602,594.773682,1.0033383043325095,-2417.973877,659.251038,-0.35672076077832326,-2617.935059,535.034485,-1.4606943402577492
-2234.420654,594.166626,0.3295711746926068,-2417.566895,660.360413,-0.26218123178793307,-2618.469971,536.063293,-1.4975289391744473
-2234.524902,595.123779,0.36790360420913576,-2417.767334,659.636169,-0.6471060257520198,-2618.437988,536.122681,-1.3678491078394706
-2234.180908,595.367065,0.6611750019313424,-2418.090332,660.002258,-0.07787137410815083,-2617.766357,535.215149,-1.5556019614914938
-2234.128906,595.605042,0.1925892089355304,-2418.124512,659.931396,-0.265553960994653,-2618.298584,535.443726,-1.3576484217345046
-2234.529053,594.63562,0.45739896318163825,-2417.832275,659.077881,-0.22301506661121007,-2617.679932,535.057861,-1.5978965741221238
-2234.165771,594.912964,0.4314949523875838,-2417.707275,657.955322,-0.5654182612197943,-2617.541016,535.450989,-1.5808759340673075
-2234.455811,594.77948,0.30087998707945657,-2418.018799,659.73175,-0.5525823558073647,-2619.823242,537.274963,-1.560061754572611
-2234.893311,595.893799,0.5053714520447253,-2418.13916,659.882385,-0.18046632437474305,-2618.087158,535.840393,-1.411892586370777
-2235.026367,595.098999,0.7511979510603481,-2418.264648,659.400146,-1.4700265375572028,-2618.150879,535.792297,-1.394314335498589
