l_x,l_y,l_yaw,s_x,s_y,s_yaw,r_x,r_y,r_yaw
-2242.876221,609.487488,-0.20900548553615803,-2433.060791,669.296997,-0.8907645523720591,-2637.660645,535.708252,-2.5707090086248727
-2243.235596,610.798218,-0.11658481483871858,-2434.410156,670.354797,-1.475684341166454,-2637.294434,535.940613,-2.1230499247798122
-2243.800537,610.19165,-0.18965174852026084,-2433.773682,670.163513,-1.1241582204305067,-2637.258057,535.575317,-2.1306304709498973
-2243.738037,611.396362,0.1520279465738794,-2433.462646,669.930542,-0.17659501871141062,-2637.019775,535.713928,-2.198278741754354
-2242.874023,610.343567,0.11850813547507431,-2432.93042,668.996948,-1.1023989682501787,-2637.064697,535.701965,-2.1396187768948876
-2243.80542,611.402893,0.6706844497208261,-2432.699951,669.03479,-0.9796168852872049,-2637.248291,535.578613,-2.1095712535267004
-2242.894287,610.005493,-0.10734955757886169,-2433.664062,670.117554,-2.3542497163636975,-2636.570312,535.61908,-2.128452869826985
-2243.206543,610.967712,0.5265818796262246,-2433.650879,667.578918,-0.4283683747780476,-2636.940918,535.769897,-2.1720317964873037
-2245.117188,611.439575,-2.223628219533246,-2433.461426,669.185059,-0.5344259640566398,-2637.021729,536.051636,-1.0702832774666262
-2243.483643,610.179626,0.2394138372027991,-2433.451416,669.972412,-0.7029284689322605,-2627.880615,537.492798,-5.774417037712882
-2240.594727,612.166138,-0.7672579450131218,-2433.461182,670.331116,-0.7709835792510363,-2636.953125,535.72345,-2.130551289216145
-2242.737793,610.210632,0.9916144674209109,-2434.654053,670.549133,-1.5597676460759613,-2636.736328,535.495361,-2.082876888407246
-2243.25415,610.264221,0.22504417112916553,-2433.083496,669.174805,-0.9049330356565519,-2636.883789,535.463013,-2.0767278196452548
-2243.186279,609.8479,-0.04425019825320496,-2433.061035,669.00354,-1.0693443497391284,-2634.53833,536.650818,-4.643513630991398
-2243.441162,611.940735,0.05112245215200019,-2432.79541,669.373962,-0.8859950991326419,-2637.205566,535.989197,-1.9666473801539213
-2242.905762,610.658081,0.7961747952348475,-2432.757568,669.174927,-0.8788009174075911,-2637.403564,536.084106,-2.3419106553994826
-2233.187744,625.524109,-1.9019128275607209,-2432.945557,669.3479,-0.9043334988232915,-2636.750244,535.715759,-2.281088097243001
-2243.433838,610.086487,-0.13297621430829987,-2432.742432,669.341248,-0.7623407235225083,-2637.080566,536.021301,-2.548928066340103
-2243.355469,610.108215,-0.36404785311463267,-2433.712646,670.672668,-0.7957238147903304,-2636.870117,536.036499,-2.1576535995794464
-2244.067627,610.190491,0.09489033303438807,-2433.756592,670.817566,-0.6245349574601118,-2636.893066,535.970886,-2.1951266430743277
-2243.5354,610.002014,-0.12835490878921768,-2432.849121,669.207153,-0.9257421132046602,-2636.99707,535.838989,-2.173807878583838
-2241.918701,610.088196,0.896233777153896,-2433.655029,670.323181,-0.685355120481822,-2636.856445,535.532043,-2.1813682471875397
-2243.019531,609.868774,-0.014745510311940803,-2432.70166,669.272827,-0.8943150665705052,-2636.78833,535.233337,-2.0373806620372554
-2242.964844,609.488281,0.46666801005585,-2432.911865,669.216003,-0.7847862970924424,-2638.320801,536.013306,-2.201320161526716
-2243.843262,610.358765,-0.17210472917687286,-2432.740967,669.182129,-0.9457319830650325,-2636.501465,535.526123,-2.345533802639925
