l_x,l_y,l_yaw,s_x,s_y,s_yaw,r_x,r_y,r_yaw
-2194.025635,598.022034,-34.014566396340435,-2381.745361,674.172668,-9.837133035012304,-2596.186523,571.297546,17.967932901277763
-2194.315674,598.255798,-36.31212279853558,-2382.274902,680.81488,-8.391568778847809,-2596.669434,571.28064,19.013902459666493
-2195.224121,598.90033,-33.76823025810238,-2382.902588,681.212402,-7.731958691074721,-2594.402344,570.026306,14.226091476665282
-2193.830566,598.506226,-35.146958347804855,-2381.72876,679.350708,-8.698619822364579,-2596.578613,570.832153,21.162649022481013
-2193.50415,599.597229,-34.24468840238092,-2381.107178,680.090332,-8.212421031555456,-2596.964844,570.979004,20.535798235694386
-2193.893066,599.489014,-34.36076410182213,-2382.200928,681.101807,-6.2641025734326945,-2596.127441,570.776184,17.224914600489097
-2193.527344,598.727356,-34.40942476316161,-2381.38916,680.531738,-7.178804794419764,-2595.213379,569.529358,16.32923897923067
-2194.064941,598.686218,-36.159769940101654,-2381.069336,679.094849,-9.172281821167896,-2596.255127,570.314087,18.330874022492154
-2194.113037,599.012756,-35.228889845478115,-2381.10498,679.051147,-9.783965226075217,-2597.316895,571.05304,22.158572687716212
-2193.830322,598.984436,-33.64349720470063,-2381.628418,680.194275,-8.940519007765582,-2595.345947,569.406738,16.84321099624352
-2193.785889,599.262329,-35.06640953307755,-2380.915039,679.103882,-11.933237637306503,-2591.96167,572.950989,22.74518875659649
-2193.99585,598.082825,-36.374473570955686,-2381.172852,679.813599,-9.169577202024069,-2596.40625,570.521606,18.629845554281463
-2194.348389,598.518677,-35.22587137466672,-2381.94458,680.237061,-8.858898143996091,-2595.968018,569.995667,18.024030958773416
-2193.537354,599.008301,-34.91493897186018,-2382.303955,680.71698,-6.617327930442255,-2598.217529,572.06488,24.747721267839466
-2194.281982,598.893921,-33.19523631652223,-2380.503662,678.428406,-14.480963610573115,-2596.42041,570.621765,19.90824965943048
-2195.266602,601.093262,-27.197530750280944,-2381.245361,679.754761,-9.155723878590313,-2596.726074,571.877808,20.611881263442942
-2194.701416,598.713684,-35.268322851112,-2381.275391,679.61969,-8.899998902435732,-2595.847168,569.889038,15.251835292910979
-2193.974365,599.039734,-36.295669973214274,-2382.038574,679.968018,-5.86297537202502,-2597.314941,571.591492,22.201769606681975
-2194.797607,598.294861,-35.40465099763427,-2381.284668,680.299927,-10.139663599784631,-2596.374756,570.208862,19.64068832967003
-2194.133545,598.988892,-35.41321438585212,-2382.137451,680.813477,-5.489633590754005,-2596.387695,570.859192,18.692674708841
-2194.529053,600.066284,-33.07839878523603,-2381.744873,680.217529,-7.718329990993677,-2597.75708,571.134399,22.628489177653726
-2194.442139,598.136292,-35.554644941087794,-2381.940674,680.417297,-6.830768380373775,-2595.95166,570.828552,18.33050004941135
-2194.604248,599.387451,-31.965682913673575,-2381.982422,680.062378,-6.499080481796914,-2595.860107,571.190002,19.37266138138453
-2194.368164,599.910706,-33.05207137969282,-2381.88916,679.638489,-7.8465464857399585,-2595.657471,570.255554,18.599709563467858
-2194.428467,598.684631,-36.35357784128661,-2381.039307,679.943237,-7.565683114799599,-2596.175049,571.000977,19.59175704732986
