l_x,l_y,l_yaw,s_x,s_y,s_yaw,r_x,r_y,r_yaw
-2442.588867,533.81897,-15.369607837444109,-2442.53418,534.746033,-15.314842334933108,-2442.639893,534.578003,-15.312347680181581
-2442.70166,533.540344,-16.068962392760934,-2442.895752,533.824707,-16.074932806319282,-2442.584961,534.371094,-15.659532495999246
-2442.860107,533.849731,-16.000494801659382,-2442.924561,534.450256,-16.089146612621388,-2442.613037,534.080139,-16.075205130510653
-2442.744141,533.638306,-15.906786564832814,-2443.001221,534.222717,-15.95648561581566,-2442.655762,534.034973,-15.845921220584017
-2442.358398,534.724121,-15.309364078091166,-2442.245117,534.32605,-15.638452277887223,-2442.625732,534.095764,-16.038533339150476
-2442.686768,533.559509,-16.03753069210818,-2442.816406,534.762329,-15.345666814384371,-2442.489746,534.122253,-15.326008067792248
-2442.735107,533.706116,-15.974604719141105,-2442.663818,534.70105,-15.668630184278333,-2442.522461,533.74939,-15.72375282381998
-2442.693848,534.379333,-15.44690100468968,-2442.580078,533.814514,-15.351583454817357,-2442.555176,534.082458,-16.069338040221155
-2442.619385,534.267029,-15.869322335592361,-2442.830322,534.039917,-15.578612226874963,-2442.562256,534.052551,-15.446279200010892
-2442.609375,534.202209,-15.682259498871725,-2442.493408,533.737122,-16.051233848836095,-2442.552246,534.41217,-15.525991325559943
-2443.243408,534.280334,-16.545648101538927,-2442.889648,534.280945,-16.031888606631053,-2442.636719,534.374329,-15.333969835829388
-2442.661621,534.042908,-16.092598293999487,-2442.475586,533.969421,-15.865504906673165,-2442.565918,533.666565,-15.905984098797001
-2442.695068,534.335571,-15.731713260186595,-2442.571289,534.285217,-15.851613196623672,-2442.564209,533.4552,-15.782702118344764
-2442.55835,534.000427,-15.359290480440128,-2442.751221,533.781433,-15.885109303934597,-2442.51123,533.764954,-15.53248584417715
-2442.638428,533.502441,-16.098128839031492,-2442.637939,534.871521,-15.577208754437937,-2442.550537,534.611145,-15.357055784332053
-2442.68457,534.196594,-16.069082516848574,-2442.595947,534.09082,-15.886643337969273,-2438.12915,534.922913,-14.924274953272196
-2442.552979,534.122009,-15.341259575871488,-2442.593018,534.75647,-15.673846948796113,-2442.522705,534.240295,-15.939470153930461
-2442.70166,534.105591,-15.921783442659834,-2442.633789,534.58728,-15.941455828433893,-2442.369141,533.990417,-15.253011126569598
-2442.739502,534.190857,-16.037286016125265,-2442.565918,534.493896,-16.076446659937215,-2442.541748,534.608032,-15.574326826550749
-2442.79126,534.048523,-15.957417980666285,-2442.475098,534.892151,-15.477933027702564,-2442.519531,534.625671,-15.371728614885557
-2442.601807,533.80249,-16.0869444799767,-2442.582275,534.571228,-15.885750235776658,-2442.475098,534.600708,-15.327973154517835
-2442.637207,534.634094,-15.332997598438382,-2442.685059,533.839783,-16.039753764512344,-2442.579834,533.563354,-15.918195038522317
-2442.770996,533.550476,-16.070335936072638,-2442.571533,534.44751,-16.05658705842675,-2442.524658,533.909546,-15.540101665603128
-2442.645996,533.927246,-15.59840090101017,-2442.602783,534.059021,-15.612845769199268,-2442.465332,534.212646,-15.372291414074567
-2442.589355,534.724182,-15.362367496934839,-2442.303223,534.562317,-15.305329377027821,-2442.589355,533.854248,-15.537671277981591
